director,index
Luca Guadagnino,295
Luis Buñuel,296
Lukas Moodysson,297
M. Night Shyamalan,298
Majid Majidi,299
Makoto Shinkai,300
Mamoru Hosoda,301
Mamoru Oshii,302
Marc Caro,303
Marc Forster,304
Marc Webb,305
Mark Herman,306
Mark Osborne,307
Mark Rydell,308
Martin Brest,309
Martin Campbell,310
Martin McDonagh,311
Martin Rosen,312
Martin Scorsese,313
Martin Zandvliet,314
Mary Harron,315
Masaki Kobayashi,316
Mathieu Kassovitz,317
Matt Reeves,318
Matt Ross,319
Matthew Vaughn,320
Matthew Warchus,321
Meghna Gulzar,322
Mehmet Ada Öztekin,323
Mel Brooks,324
Mel Gibson,325
Mel Stuart,326
Merian C. Cooper,327
Michael Cimino,328
Michael Curtiz,329
Michael Haneke,330
Michael Mann,331
Michael Powell,332
Michael Radford,333
Michel Gondry,334
Michel Hazanavicius,335
Michelangelo Antonioni,336
Mikael Håfström,337
Mike Judge,338
Mike Leigh,339
Mike Newell,340
Mike Nichols,341
Milos Forman,342
Morten Tyldum,343
Moustapha Akkad,344
Mukesh Chhabra,345
Nadine Labaki,346
Naoko Yamada,347
Nathan Greno,348
Neeraj Pandey,349
Neil Burger,350
Neill Blomkamp,351
Nicholas Meyer,352
Nicholas Ray,353
Nick Cassavetes,354
Nicolas Winding Refn,355
Niels Arden Oplev,356
Nikkhil Advani,357
Nishikant Kamat,358
Nitesh Tiwari,359
Noah Baumbach,360
Norman Jewison,361
Nuri Bilge Ceylan,362
Oliver Hirschbiegel,363
Oliver Stone,364
Olivier Dahan,365
Olivier Nakache,366
Oriol Paulo,367
Orson Welles,368
Otto Preminger,369
Paolo Genovese,370
Paolo Sorrentino,371
Paul Greengrass,372
Paul Haggis,373
Paul King,374
Paul McGuigan,375
Paul Thomas Anderson,376
Paul Verhoeven,377
Pedro Almodóvar,378
Penny Marshall,379
Pete Docter,380
Peter Bogdanovich,381
Peter Farrelly,382
Peter Jackson,383
Peter Mullan,384
Peter Weir,385
Philip Kaufman,386
Pierre Coffin,387
Pierre Morel,388
Prashanth Neel,389
Priyadarshan,390
Quentin Tarantino,391
Rahi Anil Barve,392
Raja Menon,393
Rajkumar Hirani,394
Rajkumar Santoshi,395
Rakeysh Omprakash Mehra,396
Ramesh Sippy,397
Raoul Walsh,398
René Laloux,399
Rian Johnson,400
Rich Moore,401
Richard Attenborough,402
Richard Brooks,403
Richard Curtis,404
Richard Donner,405
Richard Kelly,406
Richard Lester,407
Richard Linklater,408
Richard Marquand,409
Richard Schenkman,410
Ridley Scott,411
Ritesh Batra,412
Rob Reiner,413
Robert Aldrich,414
Robert Altman,415
Robert Benton,416
Robert Clouse,417
Robert De Niro,418
Robert Hamer,419
Robert Mulligan,420
Robert Redford,421
Robert Rossen,422
Robert Stevenson,423
Robert Wiene,424
Robert Wise,425
Robert Zemeckis,426
Roberto Benigni,427
Roger Allers,428
Roger Donaldson,429
Roland Joffé,430
Roman Polanski,431
Ron Clements,432
Ron Howard,433
Ronny Yu,434
Ruben Fleischer,435
Ryan Coogler,436
S.S. Rajamouli,437
Sam Mendes,438
Sam Peckinpah,439
Sam Raimi,440
Sam Wood,441
Sanjay Leela Bhansali,442
Satoshi Kon,443
Scott Hicks,444
Sean Baker,445
Sean Penn,446
Sebastian Schipper,447
Sergei M. Eisenstein,448
Sergio Leone,449
Sergio Pablos,450
Shane Meadows,451
Shimit Amin,452
Shin'ichirô Watanabe,453
Shoojit Sircar,454
Shûsuke Kaneko,455
Sidney Lumet,456
Sofia Coppola,457
Spike Jonze,458
Spike Lee,459
Sriram Raghavan,460
Stanley Donen,461
Stanley Kramer,462
Stanley Kubrick,463
Stephen Chbosky,464
Stephen Chow,465
Stephen Daldry,466
Stephen Frears,467
Steve McQueen,468
Steven Soderbergh,469
Steven Spielberg,470
Stuart Rosenberg,471
Sudha Kongara,472
Sujoy Ghosh,473
Susanne Bier,474
Sylvain Chomet,475
Taika Waititi,476
Takeshi Kitano,477
Tarsem Singh,478
